User Id,First Name,Last Name,Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Email Id,Password
526540,Angelique,Goodwin,Academic purpose,F,20,2,angelique.goodwin@gmail.com,z{d>ez%{.@
859327,Jeni,Shaffer,Personal Use,F,23,1,jeni.shaffer@gmail.com,7U56!*!O
887387,Donald,Farris,Academic purpose,F,45,1,donald.farris@bellsouth.net,rX.F{j&]&m&&X
779497,Steven,Rendon,Big Organization,M,54,10,steven.rendon@gmail.com,a+2;sx}<G]y
896517,Jenell,Almanza,Personal Use,F,32,2,jenell.almanza@yahoo.com,Ou7RX{yT
220965,Almeta,Brookins,Small organization,F,42,5,almeta.brookins@gmail.com,HQHKE_+9hv
721091,Bobbie,Branson,Big Organization,M,42,7,bobbie.branson@hotmail.com,tA5zrwtY9\!Y
633636,Bertram,Carlisle,Gaming Purpose,M,38,7,bertram.carlisle@aol.com,F4G46Phi$qF
823898,Carlton,Leclair,Small Organization,M,37,6,carlton.leclair@cox.net,Kce]/Rnti6
413865,Todd,Slater,Small Organization,M,51,6,todd.slater@earthlink.net,EZ5}EHI4
439483,Adalberto,Hazel,Big Organization,M,37,7,adalberto.hazel@yahoo.co.in,j8v|]L6g2j/T$4+
809408,Seymour,Nelson,Small organization,M,45,6,seymour.nelson@hotmail.com,cEvcPqX[
748190,Vicente,Dawkins,Small Organization,M,36,6,vicente.dawkins@gmail.com,t\XA;6?;[c>!47c
397283,Rex,Ng,Gaming Purpose,M,44,7,rex.ng@yahoo.com,rcT|A/ba:8aZ$q
553684,Arlena,Clough,Small organization,F,48,2,arlena.clough@yahoo.com,5vI5~Zd:
495667,Cory,Clarke,Personal Use,M,45,3,cory.clarke@shell.com,k2QH6T#d!
936158,Sofia,Poole,Academic purpose,F,52,1,sofia.poole@earthlink.net,GLTTXR|JL0~E
537591,Samuel,Wendt,Big Organization,M,39,7,samuel.wendt@bellsouth.net,pOq-woq:}4.ubd0
909018,Virgil,Trowbridge,Personal Use,M,31,3,virgil.trowbridge@aol.com,3PE>x:gOp<AY5jN
878666,Elda,Champagne,Personal Use,F,33,4,elda.champagne@gmail.com,IawX0iQY&D
995710,Robert,Guinn,Small organization,M,50,2,robert.guinn@walmart.com,x@xCTeXJ74*}R8
511059,Humberto,Sauer,Personal Use,M,42,1,humberto.sauer@yahoo.com,q&_|-%P-S/
754455,Anastasia,Childers,Small organization,F,51,2,anastasia.childers@hotmail.com,5G;rxDn:
489275,Collene,Kidd,Small organization,F,47,2,collene.kidd@shell.com,goocZI#~7N!7suU
500905,Harris,Beavers,Personal Use,M,39,2,harris.beavers@shell.com,gv8q[B?p
984409,Kathe,John,Gaming Purpose,F,52,8,kathe.john@gmail.com,A\Pv~BOD8
812053,Ashly,Stanton,Small Organization,F,51,3,ashly.stanton@gmail.com,3<u55Xj^@fy7#OS
550206,Geraldo,Easley,Big Organization,M,48,8,geraldo.easley@shaw.ca,3q\|HQi9{R>IRL
728053,Leigh,Fite,Small organization,M,52,3,leigh.fite@gmail.com,3r|R05du]98pR8I
184257,Devon,Knox,Small organization,F,53,3,devon.knox@gmail.com,LfKn#gT3h>
235295,Yevette,Mullis,Big Organization,F,53,8,yevette.mullis@gmail.com,quS?S>|}
767674,Irena,Dang,Academic purpose,F,41,1,irena.dang@gmail.com,SKR2COdtmJA
391837,Cory,Hayden,Academic purpose,M,58,2,cory.hayden@gmail.com,M9Nqt*&>*c5
466560,Dolores,Begley,Gaming Purpose,F,53,8,dolores.begley@hotmail.com,8e;FDv*HnOG
900756,Benjamin,Doss,Big Organization,M,31,8,benjamin.doss@gmail.com,3k}8*JZ!
678628,Theron,Farmer,Small organization,M,54,1,theron.farmer@gmail.com,0qC2c1MJ2H&@
492527,Hilton,Mcgehee,Big Organization,M,51,8,hilton.mcgehee@microsoft.com,8thdsXfBeBv6N
886060,Sixta,Beaudoin,Big Organization,F,35,8,sixta.beaudoin@gmail.com,Hu5[dWW~hFPy34
366431,Sade,Shay,Small Organization,F,55,1,sade.shay@gmail.com,y>;Y[$It
331297,Shemika,Beckman,Big Organization,F,44,8,shemika.beckman@hotmail.com,LS/qdpEb1K
496541,Winfred,Gonzales,Small organization,M,39,1,winfred.gonzales@aol.com,Q&>Mi&B%kml34tm
654617,Rogelio,Woodall,Big Organization,M,48,8,rogelio.woodall@gmail.com,d/D9:/YN
163409,Damion,Rafferty,Small organization,M,53,1,damion.rafferty@yahoo.com,54XMnP*\F9&
299088,Dannie,Catron,Big Organization,M,52,8,dannie.catron@earthlink.net,YI[#Xj}?oj
961442,Stephan,Titus,Personal Use,M,56,3,stephan.titus@hotmail.com,ME_YQuf};VlbIz\
155097,Dorian,Sage,Gaming Purpose,M,50,8,dorian.sage@shaw.ca,DRtK9Gnq^X0cm
976422,Jake,Espinal,Academic purpose,M,50,1,jake.espinal@shaw.ca,oKz3l$S2Q|sY41
138911,Claudio,Heck,Big Organization,M,42,8,claudio.heck@aol.com,mH_b:JA52
160938,Marcel,Trotter,Small Organization,M,35,3,marcel.trotter@aol.com,jI?44\xh
399707,Dillon,Dominguez,Gaming Purpose,M,44,8,dillon.dominguez@gmail.com,2LdirxG@
713294,Sammy,Dewitt,Gaming Purpose,M,41,8,sammy.dewitt@ibm.com,Quwicz}Ebz
627298,Sterling,Serna,Small organization,M,48,4,sterling.serna@hotmail.com,z9>oc+y*S%
709884,Ivonne,Manning,Personal Use,F,49,1,ivonne.manning@yahoo.ca,mnJ6W:Dx[
932773,Clair,Harwell,Big Organization,M,49,8,clair.harwell@bp.com,E_;H/rBx9_Nv?@3
796605,Jenni,Goolsby,Big Organization,F,45,8,jenni.goolsby@gmail.com,KTBjHdx_tdc8
885395,Tayna,Poston,Small organization,F,43,8,tayna.poston@yahoo.ca,QX<6#AEi4vVWzSN
411503,Vern,Mackenzie,Big Organization,M,35,8,vern.mackenzie@gmail.com,I/&NJoaD
622405,Harrison,Hawk,Gaming Purpose,M,31,9,harrison.hawk@hotmail.co.uk,Q_TqJfDpD
233136,Preston,Tribble,Gaming Purpose,M,46,9,preston.tribble@exxonmobil.com,38Tw3pt|tOMAX4
170637,Aleen,Araujo,Big Organization,F,30,9,aleen.araujo@gmail.com,Bq|uR%t>/|m0
215719,Brent,Carrillo,Academic purpose,M,30,1,brent.carrillo@aol.com,KwY0@]JJ#
452163,Adalberto,Tate,Academic purpose,M,54,1,adalberto.tate@shaw.ca,OCFPmhX0*F
572204,Rafael,Weeks,Personal Use,M,41,2,rafael.weeks@gmail.com,pK~<0k<t/UM
779517,Aurea,Pullen,Personal Use,F,33,3,aurea.pullen@gmail.com,D7fdw~fTX_G3CTg
844157,Ramiro,Holguin,Gaming Purpose,M,36,9,ramiro.holguin@gmail.com,6jB:x4I3~
312726,Celine,Lumpkin,Personal Use,F,33,3,celine.lumpkin@gmail.com,q.2icGDg/y-:TpQ
419549,Bryant,Naylor,Small Organization,M,56,4,bryant.naylor@hotmail.com,58gQWZs-fge
505927,Oswaldo,Winchester,Small Organization,M,58,5,oswaldo.winchester@gmail.com,wJZ&h&rrutImbo
526254,Kacy,Crandall,Small Organization,F,44,5,kacy.crandall@hotmail.com,lf[11#r$/>+.ZJ
460226,Brock,Hutcherson,Big Organization,M,38,9,brock.hutcherson@hotmail.com,N>dyw+gF9$EYoA
840113,Ramiro,Conover,Personal Use,M,43,1,ramiro.conover@earthlink.net,xh>\9O[Z
432820,Myron,Marble,Personal Use,M,36,1,myron.marble@gmail.com,w<lD4Yk4fX!IK[
957596,Freeman,Kern,Academic purpose,M,39,2,freeman.kern@gmail.com,yq36Zq|-
530134,Mathew,Whitfield,Personal Use,M,56,1,mathew.whitfield@gmail.com,Q6Q^XYyp\|*}
316372,Alexander,Goad,Gaming Purpose,M,50,9,alexander.goad@cox.net,q}AD{7+1\5R5?O
501658,Renee,Beverly,Academic purpose,F,36,3,renee.beverly@rediffmail.com,aTwE52/WPpZ
147133,Tommie,Weller,Small Organization,M,40,6,tommie.weller@cox.net,IEcfme@JT\rcE5<
551149,Michale,Colson,Big Organization,M,55,9,michale.colson@comcast.net,kkbwkI.Ke0
595558,Denisha,Fitch,Personal Use,F,38,1,denisha.fitch@msn.com,18fz@t:q7aEA
637407,Napoleon,Kelsey,Big Organization,M,41,9,napoleon.kelsey@hotmail.com,NJX;qDvZ#S0t
597741,Tonya,Wilson,Big Organization,F,45,9,tonya.wilson@aol.com,8#M^Q$|&
403534,Clement,Hidalgo,Gaming Purpose,M,52,9,clement.hidalgo@gmail.com,kF/EUb\XBZ8te
314661,Charles,Quintero,Big Organization,F,39,9,charles.quintero@gmail.com,NJ%-H]SOL7Jd
317987,Chastity,Pineda,Academic purpose,F,59,1,chastity.pineda@shaw.ca,n4dtB}A@?
820109,Verna,Michaud,Academic purpose,F,56,1,verna.michaud@gmail.com,nXkZ}%C/wu
388558,Alfred,Beamon,Small Organization,M,37,6,alfred.beamon@gmail.com,g_nkbo7_$^
403207,Michal,Maurer,Small organization,F,51,7,michal.maurer@yahoo.com,P0s0RWz&
143711,Wenona,Carmichael,Gaming Purpose,F,42,9,wenona.carmichael@yahoo.com,1MEI.O:1
402180,Allan,Bernhardt,Small organization,M,33,9,allan.bernhardt@gmail.com,kSGhyhoJOGhU
242388,Nam,Schmidt,Personal Use,F,30,1,nam.schmidt@yahoo.co.uk,w&~5KY4|-jL[:
819367,Yolande,Piper,Academic purpose,F,54,3,yolande.piper@gmail.com,h6\}gLafP7r-\T
962291,Whitney,Shipman,Small Organization,M,58,5,whitney.shipman@gmail.com,KW|xJ*Ts
856379,Terence,Ferro,Small organization,M,49,5,terence.ferro@gmail.com,c}v*z0W%+woH~rv
149972,Alberto,Riley,Small organization,M,51,5,alberto.riley@gmail.com,d%Uu\Rr;YR@SW|
174955,Jacqueline,Burk,Big Organization,F,35,9,jacqueline.burk@verizon.net,hRd>a$;d5l-R
549389,Clemente,Gould,Personal Use,M,30,1,clemente.gould@hotmail.com,m1%+0ojh7VIvJ
466832,Chang,Roden,Small Organization,F,41,5,chang.roden@yahoo.com,5|Rn]G:#58f$>+S
203380,Marvin,Nickel,Small Organization,M,30,5,marvin.nickel@ibm.com,8*E[g-_X|
915991,Eldora,Tribble,Small Organization,F,33,5,eldora.tribble@earthlink.net,z>ms?;$8-u
289172,Azzie,Layman,Big Organization,F,47,9,azzie.layman@hotmail.co.uk,k<%?%TML.].1ZY
